uz,u*,z0
0,0.000001,1.46788990084E-015
0.01,7.1649250458E-005,7.53558178524E-012
0.02,0.0002349365,8.1020433527E-011
0.03,0.0004093607,2.45983368214E-010
0.04,0.0005908578,5.12459289482E-010
0.05,0.0007777118,8.87832139522E-010
0.06,0.0009689447,1.37813419852E-009
0.07,0.0011639127,0.000000002
0.08,0.0013621576,2.72363071734E-009
0.09,0.0015633355,3.58754935526E-009
0.1,0.0017671743,4.5840809552E-009
0.11,0.0019734572,5.71674597731E-009
0.12,0.002182004,0.000000007
0.13,0.0023926648,8.40344186613E-009
0.14,0.0026053074,0.00000001
0.15,0.0028198222,1.16717755149E-008
0.16,0.00303611,1.35309559047E-008
0.17,0.0032540846,1.55435841201E-008
0.18,0.0034736693,1.77121149946E-008
0.19,0.003694796,0.00000002
0.2,0.0039173993,2.25262642152E-008
0.21,0.0041414262,2.51763828268E-008
0.22,0.0043668225,0.000000028
0.23,0.0045935432,0.000000031
0.24,0.0048215427,3.41244382095E-008
0.25,0.0050507826,3.74464655702E-008
0.26,0.005281223,4.09413815909E-008
0.27,0.0055128327,4.46111177699E-008
0.28,0.0057455762,4.84574623158E-008
0.29,0.0059794267,5.24822654117E-008
0.3,0.0062143533,5.66872460763E-008
0.31,0.0064503304,6.1074145937E-008
0.32,0.0066873319,6.5644636387E-008
0.33,0.0069253366,7.04004203208E-008
0.34,0.0071643209,7.53431105758E-008
0.35,0.0074042627,8.04742834819E-008
0.36,0.0076451441,8.57955651043E-008
0.37,0.0078869434,9.13084422912E-008
0.38,0.0081296451,0.000000097
0.39,0.0083732307,1.02915218031E-007
0.4,0.0086176842,0.000000109
0.41,0.00886299,1.15306555503E-007
0.42,0.0091091329,1.21800077229E-007
0.43,0.0093560982,1.28494054246E-007
0.44,0.0096038729,1.35389907652E-007
0.45,0.0098524429,1.42488999499E-007
0.46,0.0101017961,1.49792711939E-007
0.47,0.0103519205,1.57302397133E-007
0.48,0.0106028048,0.000000165
0.49,0.0108544361,1.72945002151E-007
0.5,0.0111068049,1.8108053736E-007
0.51,0.0113599012,1.89427309408E-007
0.52,0.0116137136,0.000000198
0.53,0.0118682329,2.06759561463E-007
0.54,0.0121234497,2.15747571028E-007
0.55,0.0123793548,0.000000225
0.56,0.0126359398,2.34373539054E-007
0.57,0.0128931962,0.000000244
0.58,0.0131511148,2.53874232154E-007
0.59,0.0134096891,0.000000264
0.6,0.0136689097,2.74259216935E-007
0.61,0.0139287701,2.84786254906E-007
0.62,0.0141892619,2.95537841453E-007
0.63,0.0144503796,3.06515188186E-007
