period,wavelength
0.00,0.0
0.03,0.001
0.04,0.002
0.05,0.004
0.06,0.005
0.07,0.007
0.08,0.009
0.09,0.012
0.10,0.015
0.11,0.018
0.12,0.021
0.13,0.025
0.14,0.029
0.15,0.033
0.16,0.038
0.17,0.043
0.18,0.048
0.19,0.054
0.20,0.06
0.21,0.066
0.22,0.073
0.23,0.08
0.24,0.087
0.25,0.094
0.26,0.102
0.27,0.11
0.28,0.119
0.29,0.127
0.30,0.136
0.31,0.146
0.32,0.155
0.33,0.165
0.34,0.176
0.35,0.186
0.36,0.197
0.37,0.209
0.38,0.22
0.39,0.232
0.40,0.244
0.41,0.257
0.42,0.269
0.43,0.283
0.44,0.296
0.45,0.31
0.46,0.324
0.47,0.338
0.48,0.353
0.49,0.368
0.50,0.383
0.51,0.399
0.52,0.415
0.53,0.431
0.54,0.447
0.55,0.464
0.56,0.481
0.57,0.499
0.58,0.517
0.59,0.535
0.60,0.553
0.61,0.572
0.62,0.591
0.63,0.61
0.64,0.63
0.65,0.65
0.66,0.67
0.67,0.691
0.68,0.712
0.69,0.733
0.70,0.755
0.71,0.777
0.72,0.799
0.73,0.821
0.74,0.844
0.75,0.867
0.76,0.89
0.77,0.914
0.78,0.938
0.79,0.963
0.80,0.987
0.81,1.012
0.82,1.038
0.83,1.063
0.84,1.089
0.85,1.115
0.86,1.142
0.87,1.169
0.88,1.196
0.89,1.223
0.90,1.251
0.91,1.279
0.92,1.308
0.93,1.336
0.94,1.365
0.95,1.395
0.96,1.424
0.97,1.454
0.98,1.485
0.99,1.515
1.00,1.546
1.01,1.577
1.02,1.609
1.03,1.641
1.04,1.673
1.05,1.705
1.06,1.738
1.07,1.771
1.08,1.805
1.09,1.839
1.10,1.873
1.11,1.907
1.12,1.942
1.13,1.977
1.14,2.012
1.15,2.047
1.16,2.083
1.17,2.12
1.18,2.156
1.19,2.193
1.20,2.23
1.21,2.268
1.22,2.305
1.23,2.343
1.24,2.382
1.25,2.421
1.26,2.46
1.27,2.499
1.28,2.539
1.29,2.579
1.30,2.619
1.31,2.659
1.32,2.7
1.33,2.742
1.34,2.783
1.35,2.825
1.36,2.867
1.37,2.91
1.38,2.952
1.39,2.995
1.40,3.039
1.41,3.083
1.42,3.127
1.43,3.171
1.44,3.216
1.45,3.261
1.46,3.306
1.47,3.351
1.48,3.397
1.49,3.444
1.50,3.49
1.51,3.537
1.52,3.584
1.53,3.632
1.54,3.679
1.55,3.727
1.56,3.776
1.57,3.824
1.58,3.874
1.59,3.923
1.60,3.973
1.61,4.022
1.62,4.073
1.63,4.123
1.64,4.174
1.65,4.225
1.66,4.277
1.67,4.329
1.68,4.381
1.69,4.433
1.70,4.486
1.71,4.539
1.72,4.593
1.73,4.646
1.74,4.7
1.75,4.755
1.76,4.809
1.77,4.864
1.78,4.92
1.79,4.975
1.80,5.031
1.81,5.087
1.82,5.144
1.83,5.201
1.84,5.258
1.85,5.315
1.86,5.373
1.87,5.431
1.88,5.489
1.89,5.548
1.90,5.607
1.91,5.667
1.92,5.726
1.93,5.786
1.94,5.846
1.95,5.907
1.96,5.968
1.97,6.029
1.98,6.091
1.99,6.152
2.00,6.215
2.01,6.277
2.02,6.34
2.03,6.403
2.04,6.466
2.05,6.53
2.06,6.594
2.07,6.658
2.08,6.723
2.09,6.788
2.10,6.853
2.11,6.919
2.12,6.985
2.13,7.051
2.14,7.117
2.15,7.184
2.16,7.251
2.17,7.319
2.18,7.386
2.19,7.455
2.20,7.523
2.21,7.592
2.22,7.661
2.23,7.73
2.24,7.8
2.25,7.87
2.26,7.94
2.27,8.01
2.28,8.081
2.29,8.152
2.30,8.224
2.31,8.296
2.32,8.368
2.33,8.44
2.34,8.513
2.35,8.586
2.36,8.66
2.37,8.733
2.38,8.807
2.39,8.882
2.40,8.956
2.41,9.031
2.42,9.106
2.43,9.182
2.44,9.258
2.45,9.334
2.46,9.411
2.47,9.487
2.48,9.564
2.49,9.642
2.50,9.72
2.51,9.798
2.52,9.876
2.53,9.955
2.54,10.034
2.55,10.113
2.56,10.193
2.57,10.273
2.58,10.353
2.59,10.434
2.60,10.514
2.61,10.596
2.62,10.677
2.63,10.759
2.64,10.841
2.65,10.923
2.66,11.006
2.67,11.089
2.68,11.173
2.69,11.256
2.70,11.34
2.71,11.425
2.72,11.509
2.73,11.594
2.74,11.679
2.75,11.765
2.76,11.851
2.77,11.937
2.78,12.024
2.79,12.11
2.80,12.197
2.81,12.285
2.82,12.373
2.83,12.461
2.84,12.549
2.85,12.638
2.86,12.727
2.87,12.816
2.88,12.906
2.89,12.996
2.90,13.086
2.91,13.176
2.92,13.267
2.93,13.358
2.94,13.45
2.95,13.542
2.96,13.634
2.97,13.726
2.98,13.819
2.99,13.912
3.00,14.005
3.01,14.099
3.02,14.193
3.03,14.287
3.04,14.382
3.05,14.477
3.06,14.572
3.07,14.668
3.08,14.764
3.09,14.86
3.10,14.956
3.11,15.053
3.12,15.15
3.13,15.248
3.14,15.345
3.15,15.443
3.16,15.542
3.17,15.64
3.18,15.739
3.19,15.839
3.20,15.938
3.21,16.038
3.22,16.139
3.23,16.239
3.24,16.34
3.25,16.441
3.26,16.543
3.27,16.644
3.28,16.747
3.29,16.849
3.30,16.952
3.31,17.055
3.32,17.158
3.33,17.262
3.34,17.366
3.35,17.47
3.36,17.575
3.37,17.68
3.38,17.785
3.39,17.89
3.40,17.996
3.41,18.102
3.42,18.209
3.43,18.316
3.44,18.423
3.45,18.53
3.46,18.638
3.47,18.746
3.48,18.854
3.49,18.963
3.50,19.072
3.51,19.181
3.52,19.291
3.53,19.401
3.54,19.511
3.55,19.622
3.56,19.732
3.57,19.844
3.58,19.955
3.59,20.067
3.60,20.179
3.61,20.291
3.62,20.404
3.63,20.517
3.64,20.63
3.65,20.744
3.66,20.858
3.67,20.972
3.68,21.087
3.69,21.202
3.70,21.317
3.71,21.433
3.72,21.548
3.73,21.665
3.74,21.781
3.75,21.898
3.76,22.015
3.77,22.132
3.78,22.25
3.79,22.368
3.80,22.487
3.81,22.605
3.82,22.724
3.83,22.843
3.84,22.963
3.85,23.083
3.86,23.203
3.87,23.324
3.88,23.445
3.89,23.566
3.90,23.687
3.91,23.809
3.92,23.931
3.93,24.053
3.94,24.176
3.95,24.299
3.96,24.423
3.97,24.546
3.98,24.67
3.99,24.794
4.00,24.919
4.01,25.044
4.02,25.169
4.03,25.295
4.04,25.421
4.05,25.547
4.06,25.673
4.07,25.8
4.08,25.927
4.09,26.054
4.10,26.182
4.11,26.31
4.12,26.438
4.13,26.567
4.14,26.696
4.15,26.825
4.16,26.955
4.17,27.085
4.18,27.215
4.19,27.346
4.20,27.476
4.21,27.608
4.22,27.739
4.23,27.871
4.24,28.003
4.25,28.135
4.26,28.268
4.27,28.401
4.28,28.534
4.29,28.668
4.30,28.802
4.31,28.936
4.32,29.071
4.33,29.206
4.34,29.341
4.35,29.476
4.36,29.612
4.37,29.748
4.38,29.885
4.39,30.022
4.40,30.159
4.41,30.296
4.42,30.434
4.43,30.572
4.44,30.71
4.45,30.849
4.46,30.988
4.47,31.127
4.48,31.266
4.49,31.406
4.50,31.546
4.51,31.687
4.52,31.828
4.53,31.969
4.54,32.11
4.55,32.252
4.56,32.394
4.57,32.536
4.58,32.679
4.59,32.822
4.60,32.965
4.61,33.109
4.62,33.253
